,Name,Image,Price,Link
108,Diamonds Open Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/10012/product/p0004307_Diamonds_Open_Ring_YG_Front-v2.png?1574713351,160,mejuri.com/shop/products/diamonds-open-stackable-ring
109,Diamonds Line Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9552/product/p0004287_Diamonds_Line_Ring_YG_Front.png?1574532956,220,mejuri.com/shop/products/diamonds-line-ring
110,Diamonds Team Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9465/product/p52505561_Diamonds_Team_Ring_YG_Front.png?1574458799,395,mejuri.com/shop/products/diamonds-team-ring
111,Diamond Solo Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9562/product/p052498_Solo_Diamond_Ring_YG_Front.png?1574533705,185,mejuri.com/shop/products/solo-diamond-ring
112,Diamond Beaded Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9907/product/p52504958_Diamond_Beaded_Ring_YG_Front.png?1574630062,185,mejuri.com/shop/products/beaded-diamond-ring
113,Dotted Diamonds Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9508/product/p52705307_Dotted_Diamonds_Ring_YG_Front.png?1574472395,245,mejuri.com/shop/products/dotted-diamonds-ring
114,Dot Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/10168/product/p52705457_DotRing_YG_Revised.png?1575905571,150,mejuri.com/shop/products/dot-ring
115,Duo Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/8036/product/duo-ring-cc.png?1559670429,295,mejuri.com/shop/products/duo-ring
116,Slim Signet Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9505/product/p52705071_Slim_Signet_Ring_YG_Front.png?1574472291,170,mejuri.com/shop/products/slim-signet-ring
117,Bold Stacker,https://dto508s2j2p46.cloudfront.net/system/spree/products/9466/product/p52505574_Bold_Stacker_YG_Front.png?1574459338,195,mejuri.com/shop/products/bold-stacker
118,Bold Sculpture Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/9500/product/p52705181_Bold_Sculpture_Band_YG_Front.png?1574471901,225,mejuri.com/shop/products/bold-sculpture-band
119,Diamonds Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/9501/product/p52704959_DiamondsBandRing_YG_front.png?1574471979,335,mejuri.com/shop/products/diamonds-band
120,Eternity Line Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/9503/product/p52704971_EternityLineBand_YG_front.png?1574472072,170,mejuri.com/shop/products/eternity-line-band
121,Ceramic Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/8505/product/ceramic-band-cc-v2.png?1562794914,170,mejuri.com/shop/products/ceramic-band
122,Diamonds Ceramic Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/8506/product/diamond-white-ceramic-cc-v2.png?1562794938,390,mejuri.com/shop/products/diamonds-ceramic-band
123,Thin Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/9325/product/P52704323_ThinBand__YG_Front.png?1573489400,215,mejuri.com/shop/products/thin-band
